time_s,stage,Ip_MA,loop_voltage_V,flux_consumed_Wb,q95,internal_inductance,vertical_stability_margin,line_average_density_1e19_m3,major_radius_m,minor_radius_m,elongation,triangularity,vertical_position_m,I_CS1_kA,I_CS2_kA,I_CS3_kA,I_PF1_kA,I_PF2_kA,I_PF3_kA,I_PF4_kA,I_Div1_kA,I_Div2_kA,I_VS_bias_kA,note
1.54,rampup,5.0986666666666665,9.6,25.180712328767118,3.7,0.85,0.305,2.075,1.85,0.45999999999999996,1.45,0.2,0.0,17.349578630136985,15.632771506849316,14.349578630136987,5.25,5.3999999999999995,3.4575828460038984,1.1357699805068227,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.56,rampup,5.148,9.427408056717315,25.370986409334293,3.6897266700426976,0.8479453340085394,0.30438360020256183,2.1145523203356156,1.85,0.46226013259060655,1.4561639979743815,0.20308199898719081,0.0,17.343870407719972,15.625160543626627,14.34387040771997,5.271573992910335,5.4323609893655025,3.4737458054983303,1.1582250448713083,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.58,rampup,5.197333333333334,9.254880892094688,25.557809298822413,3.679457195958017,0.8458914391916034,0.303767431757481,2.154089795561634,1.85,0.4645194168892362,1.4623256824251896,0.20616284121259487,0.0,17.338265721035327,15.617687628047104,14.338265721035327,5.293139888488163,5.464709832732245,3.4899070298500816,1.1806792609438175,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.6,rampup,5.246666666666667,9.08248328479218,25.741182940591283,3.669195433618582,0.8438390867237164,0.30315172601711493,2.1935975805684587,1.85,0.4667770046039119,1.4684827398288507,0.20924136991442532,0.0,17.332764511782262,15.610352682376348,14.332764511782262,5.314689589400977,5.4970343841014655,3.5060647839164725,1.203131780432372,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.62,rampup,5.296,8.910280013469848,25.921110573573905,3.658945238897015,0.8417890477794029,0.3025367143338209,2.233060830246493,1.85,0.4690320474426567,1.474632856661791,0.2123164283308956,0.0,17.327366682792782,15.603155577057043,14.327366682792784,5.336214998316269,5.529322497474403,3.522217332554823,1.225581755044996,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.64,rampup,5.345333333333333,8.738335856787751,26.09759673227648,3.6487104676659374,0.8397420935331875,0.30192262805995623,2.2724646994861404,1.85,0.4712836971134937,1.4807737194004373,0.2153868597002187,0.0,17.322072098031704,15.596096130708942,14.322072098031706,5.357708017901531,5.561562026852296,3.5383629406224526,1.2480283364897118,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.66,rampup,5.394666666666667,8.566715593405945,26.270647246778417,3.6384949757979728,0.8376989951595946,0.30130969854787837,2.3117943431778043,1.85,0.4735311053244459,1.486903014521216,0.21845150726060814,0.0,17.316880582596646,15.589174110128864,14.316880582596648,5.379160550824256,5.593740826236385,3.554499872976682,1.2704706764745435,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.68,rampup,5.444,8.39548400198449,26.44026924273232,3.6283026191657437,0.8356605238331487,0.3006981571499446,2.3510349162118875,1.85,0.4757734237835364,1.4930184285005539,0.22150921425027692,0.0,17.31179192271803,15.582389230290707,14.311791922718031,5.400564499751939,5.625846749627907,3.570626394474831,1.292907926707513,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.7,rampup,5.493333333333333,8.224705861183445,26.606471141364,3.618137253641872,0.8336274507283743,0.3000882352185123,2.390171573478794,1.85,0.4780098041987882,1.4991176478148769,0.22455882390743848,0.0,17.30680586575908,15.57574115434544,14.30680586575908,5.421911767352069,5.657867651028104,3.5867407699742184,1.3153392388966443,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.72,rampup,5.542666666666666,8.054445949662867,26.769262659472464,3.6080027350989803,0.831600547019796,0.2994801641059388,2.429189469868926,1.85,0.4802393982782243,1.505198358940612,0.22759917947030595,0.0,17.301922120215828,15.569229493621101,14.301922120215826,5.443194256292141,5.689791384438212,3.6028412643321643,1.3377637647499594,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.74,rampup,5.592,7.88476904608282,26.928654809429922,3.597902919409692,0.8295805838819383,0.2988741751645815,2.468073760272687,1.85,0.48246135772986776,1.511258248354185,0.23062912417709247,0.0,17.2971403557171,15.562853807622803,14.297140355717103,5.464403869239646,5.721605803859471,3.6189261424059898,1.3601806559754817,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.76,rampup,5.641333333333333,7.715739929103355,27.084659899181784,3.5878416624466283,0.8275683324893257,0.2982704997467977,2.506809599580481,1.85,0.48467483426174174,1.5172950025320229,0.23364750126601153,0.0,17.292460203024547,15.556613604032728,14.292460203024547,5.48553250886208,5.75329876329312,3.6349936690530136,1.3825890642812353,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.78,rampup,5.690666666666667,7.547423377384536,27.23729153224666,3.577822820082413,0.8255645640164826,0.29766936920494474,2.5453821426827106,1.85,0.4868789795818691,1.5233063079505522,0.23665315397527614,0.0,17.2878812540326,15.550508338710134,14.2878812540326,5.506572077826933,5.7848581167403985,3.6510421091305556,1.4049881413752416,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.8,rampup,5.74,7.379884169586417,27.386564607716373,3.567850248189668,0.8235700496379336,0.29707101489138005,2.5837765444697793,1.85,0.48907294539827306,1.5292898510861994,0.23964492554309968,0.0,17.28340306176851,15.544537415691345,14.283403061768508,5.527514478801697,5.816271718202547,3.667069727495936,1.427377038965525,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.82,rampup,5.789333333333333,7.213187084369062,27.53249532025593,3.5579278026410157,0.8215855605282031,0.29647566815846094,2.6219779598320896,1.85,0.4912558834189765,1.5352433184153906,0.2426216592076953,0.0,17.27902514039232,15.538700187189763,14.279025140392323,5.548351614453867,5.8475274216808,3.683074789006475,1.4497549087601074,0.0,0.0,0.0,rampup_current_and_shape_evolution
