time_s,stage,Ip_MA,I_CS1_MA,I_CS2_MA,I_CS3_MA,I_PF1_MA,I_PF2_MA,I_PF3_MA,I_PF4_MA,I_Div1_MA,I_Div2_MA,I_VS_bias_MA,B0_T,loop_voltage_V,flux_consumed_Wb,q95,pf_balance_residual,strike_point_residual
1.5,flattop,8.704045084971874,4.961512810803591,5.94868374773812,4.961512810803591,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.7858774233875024e-05,-1.3470869016706715e-05,0.0,12.2,1.1451407863952183,-310.65636758269403,3.210040901258626,0.0,0.008951434189073798
1.52,flattop,8.704221639627509,4.9615076395923765,5.948676852789833,4.9615076395923765,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.6990685383915155e-05,-1.2816069810471628e-05,0.0,12.2,1.1301921483631594,-310.6336142533464,3.210479256728213,0.0,0.008516318088219295
1.54,flattop,8.704381533400218,4.961502538676156,5.948670051568206,4.961502538676156,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.585464327570749e-05,-1.1959153527376413e-05,0.0,12.2,1.1142109885009839,-310.6111702219778,3.2108762534571094,0.0,0.007946894563711756
1.56,flattop,8.704524135262329,4.9614975126040886,5.948663350138783,4.9614975126040886,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.4468563971936991e-05,-1.0913634249102349e-05,0.0,12.2,1.0972607213978767,-310.5890555048788,3.211230322433888,0.0,0.007252143764689716
1.58,flattop,8.70464888242944,4.961492565628195,5.9486567541709245,4.961492565628195,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.2854306771227794e-05,-9.696000439230793e-06,0.0,12.2,1.0794086716901976,-310.5672888109479,3.211540064236878,0.0,0.006443022326277787
1.6,flattop,8.704755282581475,4.9614877016862104,5.948650268914944,4.9614877016862104,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.1037329473945911e-05,-8.325454910322835e-06,0.0,12.2,1.0607258015829957,-310.54588746621516,3.2118042545894405,0.0,0.005532290576905599
1.62,flattop,8.704842915805642,4.961482924385701,5.948643899180932,4.961482924385701,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,9.0462868974783e-06,-6.823611984092968e-06,0.0,12.2,1.0412864227822591,-310.5248673439715,3.212021849220793,0.0,0.004534311300305127
1.64,flattop,8.704911436253642,4.961478236989525,5.948637649319366,4.961478236989525,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,6.91257897264803e-06,-5.214156620646057e-06,0.0,12.2,1.0211678940895386,-310.5042428008028,3.2121919880127274,0.0,0.00346482322583278
1.66,flattop,8.704960573506572,4.961473642402707,5.948631523203607,4.961473642402707,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,4.669855548044954e-06,-3.522470892505653e-06,0.0,12.2,1.0004503059988035,-310.4840266188019,3.2123139984155213,0.0,0.002340692819304167
1.68,flattop,8.704990133642141,4.961469143160754,5.948625524214336,4.961469143160754,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,2.353485711811955e-06,-1.7752336941677398e-06,0.0,12.2,0.9792161537086672,-310.4642299542048,3.2123873981191737,0.0,0.0011796482887526287
